"ID","Start time","Completion time","Email","Name","Last modified time","What is your gender?","What is Your Age Group?","What is Your Level of Education?","How frequently do you use social media?","Which social media platforms do you use the most? (Select all that      apply)","Have you ever used digital banking services offered by NBM?","If no, what are the main reasons for not using digital      banking?","If yes, which digital banking services do you frequently use?      (Select all that apply)","How easy is it for you to use digital banking services?","Do you feel that digital banking services align with your financial needs and lifestyle?","Do you believe that social media marketing by NBM helps you      understand how digital banking fits into your daily banking activities?","Have you ever tried digital banking because of a promotion or      campaign seen on social media?","Would you be more willing to adopt digital banking if NBM provided a      free trial period or demo?","Have you seen or heard positive testimonials on social media from      other users about NBM’s digital banking services?","Have you ever recommended NBM’s digital banking services to someone      based on what you saw on social media?","Do you find NBM’s digital banking services easy to understand based      on their social media marketing?","What challenges, if any, do you face when trying to use NBM’s      digital banking services? (Select all that apply)","Do you think digital banking is more convenient than visiting a      physical bank branch?","In your opinion, how has social media marketing influenced your decision to use digital banking?","How often do you engage with NBM’s social media posts about digital banking (e.g., liking, commenting, sharing)?","What type of social media content from NBM influences you the most?      (Select all that apply)","How do you rate the effectiveness of NBM’s social media marketing in      educating and encouraging you to use digital banking?","What additional improvements would you suggest for NBM’s social media marketing to enhance digital banking adoption?
 
"
"id","start_time","completion_time","email","name","last_modified_time","gender","age","education_level","social_media_frequency","socio_media_name","digital_banking","no_reasons","yes_name_digital_platform","easy","feel","social_media_helps_digital_banking","digital_banking_coz_of_promotion","willingness","testimonials","recommended","easy_understand","challlenge","digital_is_convinient","socia_has_influenced_digital_use","often","social_media_type","rate_effectiveness","additional_improvements"
"1","3/6/25 20:55:24","3/6/25 20:59:34","anonymous",NA,NA,"Female","18-24","Diploma","Daily","Instagram;Other- please specify;","Yes",NA,"Mobile banking app;USSD banking (*626#);Internet banking;ATM services;","Somewhat easy","Strongly Agree","Yes","No","Yes","Occasionally","Yes","Agree","Poor internet connectivity;Security concerns;","Neutral","Strongly positively","Never","Live Q&A sessions or webinars;Customer testimonials;","Excellent",NA
"2","3/7/25 9:33:57","3/7/25 9:38:21","anonymous",NA,NA,"Male","45-54","Postgraduate Degree","Daily","Facebook;WhatsApp;LinkedIn;You Tube ;","Yes",NA,"USSD banking (*626#);ATM services;","Somewhat easy","Agree","No","No","Yes","Occasionally","Yes","Agree","Poor internet connectivity;","Strongly Agree","Somewhat positively","Monthly","Informative posts (e.g., how-to guides, security tips);","Average",NA
"3","3/7/25 9:58:30","3/7/25 10:01:43","anonymous",NA,NA,"Male","55 and above","Postgraduate Degree","Daily","Facebook;WhatsApp;LinkedIn;You Tube ;","Yes",NA,"Mobile banking app;USSD banking (*626#);Internet banking;ATM services;","Extremely easy","Agree","Yes","No","Yes","Yes, frequently","Yes","Agree","Poor internet connectivity;","Strongly Agree","Somewhat positively","Never","Informative posts (e.g., how-to guides, security tips);","Average",NA
"4","3/7/25 9:58:17","3/7/25 10:03:57","anonymous",NA,NA,"Female","35-44","Postgraduate Degree","Daily","Facebook;WhatsApp;LinkedIn;You Tube ;","Yes",NA,"Mobile banking app;USSD banking (*626#);ATM services;","Somewhat easy","Agree","Yes","No","Yes","Occasionally","No","Neutral","Poor internet connectivity;Difficult registration process;","Strongly Agree","Somewhat positively","Monthly","Promotional offers (e.g., discounts, free transactions);Informative posts (e.g., how-to guides, security tips);","Average","Less wordy, more visuals."
"5","3/7/25 10:29:07","3/7/25 10:35:06","anonymous",NA,NA,"Female","35-44","Bachelor's Degree","Daily","Facebook;","Yes",NA,"Mobile banking app;ATM services;","Extremely easy","Strongly Agree","Yes","No","Yes","Occasionally","No","Agree","Poor internet connectivity;","Strongly Agree","Strongly positively","Monthly","Informative posts (e.g., how-to guides, security tips);","Good","Respond more to people's queries"
"6","3/7/25 12:19:29","3/7/25 12:22:25","anonymous",NA,NA,"Male","45-54","Postgraduate Degree","Daily","Facebook;Instagram;Twitter;WhatsApp;LinkedIn;You Tube ;","Yes",NA,"Mobile banking app;USSD banking (*626#);ATM services;","Somewhat easy","Strongly Agree","Yes","Yes","Yes","Yes, frequently","Yes","Strongly Agree","Security concerns;","Strongly Agree","Strongly positively","Weekly","Informative posts (e.g., how-to guides, security tips);","Good","None"
"7","3/7/25 12:23:00","3/7/25 12:26:51","anonymous",NA,NA,"Male","45-54","Postgraduate Degree","Daily","WhatsApp;","Yes",NA,"Mobile banking app;","Extremely easy","Strongly Agree","Yes","No","No","Yes, frequently","Yes","Strongly Agree","Poor internet connectivity;","Strongly Agree","Somewhat positively","Daily","Customer testimonials;","Average",NA
"8","3/7/25 12:31:23","3/7/25 12:36:24","anonymous",NA,NA,"Male","55 and above","Postgraduate Degree","Daily","WhatsApp;Facebook;Instagram;LinkedIn;You Tube ;","Yes",NA,"Mobile banking app;USSD banking (*626#);Internet banking;ATM services;","Extremely easy","Strongly Agree","Yes","No","Yes","Occasionally","No","Neutral","Poor internet connectivity;","Strongly Agree","No influence","Never","Promotional offers (e.g., discounts, free transactions);","Good","Timely updates on service disruption needs improvement"
"9","3/7/25 13:28:42","3/7/25 13:31:22","anonymous",NA,NA,"Male","45-54","Postgraduate Degree","Daily","Facebook;Twitter;Instagram;WhatsApp;LinkedIn;You Tube ;","Yes",NA,"Mobile banking app;USSD banking (*626#);Internet banking;ATM services;","Neutral","Strongly Agree","Yes","Yes","Yes","Yes, frequently","Yes","Neutral","Difficult registration process;","Strongly Agree","Somewhat positively","Weekly","Informative posts (e.g., how-to guides, security tips);","Good",NA
